sign_id,method,k_used,seed,est_lat,est_lon,gt_lat,gt_lon,err_m,hit_1m,hit_2m,n_outliers_detected,outlier_idx,residual_norm,n_iter,assumed_s,fallback_triggered,runtime_ms
0,geometric_median,27,0,49.01103453484048,8.42313433022239,49.01104539434144,8.423140296838017,1.2841443987319066,0,1,0,,,60,,0,0.3948
1,geometric_median,9,0,49.0110068518226,8.423155247249504,49.0109879397477,8.423173003321457,2.4720005922169954,0,0,0,,,9,,0,0.055
3,geometric_median,16,0,49.00887690876438,8.439507924640942,49.008885085775056,8.43945640100112,3.8775470988342704,0,0,0,,,199,,0,0.9043
4,geometric_median,16,0,49.00920227821697,8.439946550542613,49.00920024688789,8.439959441211467,0.9697391349561767,1,1,0,,,58,,0,0.2699
7,geometric_median,10,0,49.01119926958164,8.439115282204654,49.01120358064679,8.439131158189603,1.2564785231155118,0,1,0,,,141,,0,0.6123
9,geometric_median,6,0,49.01578418032909,8.436604286468514,49.01577759947758,8.436623187204995,1.564319986774586,0,1,0,,,199,,0,0.8685
10,geometric_median,13,0,49.01587015896732,8.436779257331823,49.01586595781392,8.436782367739855,0.5196650789898991,1,1,0,,,34,,0,0.1596
12,geometric_median,7,0,49.0165694347083,8.438256078941803,49.016566339086836,8.438267373680977,0.895039014797657,1,1,0,,,5,,0,0.0303
13,geometric_median,11,0,49.01745821852401,8.439832586093384,49.01745675169801,8.43984329074997,0.799816901471229,1,1,0,,,22,,0,0.1142
15,geometric_median,14,0,49.021557481811136,8.445864842061644,49.021552817620844,8.445866920345988,0.5405192790459258,1,1,0,,,129,,0,0.5642
16,geometric_median,4,0,49.02571964564274,8.448468447096598,49.025731958207764,8.448387961781982,6.043387767793422,0,0,0,,,145,,0,0.6149
17,geometric_median,11,0,49.025794231578466,8.448679146657735,49.02578456454105,8.448680103990874,1.07735091639372,0,1,0,,,28,,0,0.1331
18,geometric_median,17,0,49.025829250277596,8.448494693147104,49.025827192605675,8.448449301824292,3.327524568998127,0,0,0,,,53,,0,0.2425
21,geometric_median,11,0,49.05391226205592,8.420977693510286,49.053917783943405,8.42093154193582,3.42878703524102,0,0,0,,,33,,0,0.1727
22,geometric_median,4,0,49.0539087428191,8.420983534138397,49.05388720389666,8.420947118828824,3.580835580306735,0,0,0,,,199,,0,0.864
24,geometric_median,8,0,49.05699369216099,8.418657007374458,49.05699793589034,8.418660548370681,0.5382525040320886,1,1,0,,,44,,0,0.1965
25,geometric_median,10,0,49.06751232247062,8.400968420179801,49.06749858646056,8.400967016881998,1.5310338760525923,0,1,0,,,192,,0,0.8244
26,geometric_median,10,0,49.06751109623299,8.401016505861277,49.067498967657734,8.400967010702349,3.8600836753200745,0,0,0,,,199,,0,0.8513
27,geometric_median,10,0,49.06763479306717,8.400890334205041,49.06761751504026,8.400949624845799,4.739511767117203,0,0,0,,,199,,0,0.9087
28,geometric_median,8,0,49.03939979319485,8.362489414852893,49.03938883765934,8.36249498880362,1.2847221659580481,0,1,0,,,70,,0,0.3254
29,geometric_median,13,0,49.03922385481745,8.362232897711666,49.03923502715589,8.362231377937965,1.2474401248088796,0,1,0,,,30,,0,0.164
30,geometric_median,11,0,49.03895162498654,8.362290655206177,49.038950655827506,8.362296941495774,0.47208842373608334,1,1,0,,,29,,0,0.137
31,geometric_median,5,0,49.03905679872721,8.362205244677869,49.03905662084125,8.36219852071007,0.4920178363487176,1,1,0,,,14,,0,0.0697
34,geometric_median,14,0,49.02572973116632,8.356216211815127,49.02572148660942,8.35622192078498,1.0074674151072454,0,1,0,,,199,,0,0.9292
36,geometric_median,18,0,49.02449809037366,8.356186192286088,49.02447760808259,8.356138793759902,4.147941274249334,0,0,0,,,38,,0,0.1771
37,geometric_median,18,0,49.02449397396336,8.356157264688573,49.02447806671637,8.356115816624278,3.5097817021061206,0,0,0,,,36,,0,0.1674
39,geometric_median,26,0,49.033167642496004,8.337111426919698,49.03317670411804,8.337129460746299,1.6596682036705546,0,1,0,,,199,,0,0.8972
40,geometric_median,7,0,49.01668436898995,8.353341638589681,49.01668975790858,8.353342299304732,0.601247534967589,1,1,0,,,48,,0,0.2133
